Route,Full URL,Template,Phone Numbers Shown,Primary Phone,Additional Phone Notes,Form Name,Form ID,Page Type,Page Lead Source,Form Source,Notes
aha,https://herself-health.com/aha/,SharedLandingPage,"(877) 538-4554","(877) 538-4554",,"aha","aha-form","aha_landing","Aha","aha","Shared template variant; excludes GuideSection"
care,https://herself-health.com/care/,SharedLandingPage,"844-55-HERSELF; (844) 554-3773","844-55-HERSELF","Numeric subtitle shown as (844) 554-3773","care","care-form","care_landing","Care","care","Shared template variant; excludes GuideSection; uses vanity header number plus numeric subtitle"
directmail,https://herself-health.com/directmail/,SharedLandingPage,"(888) 290-1209","(888) 290-1209",,"directmail","directmail-form","directmail_landing","Direct Mail","directmail","Shared template variant; excludes GuideSection"
email,https://herself-health.com/email/,SharedLandingPage,"(888) 290-1209","(888) 290-1209",,"email","email-form","email_landing","Email","email","Shared template variant; excludes GuideSection"
guide,https://herself-health.com/guide/,SharedLandingPage,"(888) 290-1209","(888) 290-1209",,"guide","guide-form","guide_landing","Guide","guide","Shared template variant; excludes GuideSection"
newpatients,https://herself-health.com/newpatients/,SharedLandingPage,"(888) 290-1209","(888) 290-1209",,"newpatients","newpatients-form","newpatients_landing","New Patients","newpatients","Shared template variant; excludes GuideSection"
tv,https://herself-health.com/tv/,SharedLandingPage,"(888) 290-1209","(888) 290-1209",,"tv","tv-form","tv_landing","Television","tv","Shared template variant; excludes GuideSection"
medicare,https://herself-health.com/medicare/,Medicare,"(877) 487-4554; (888) 290-1209","(877) 487-4554","Post-submit success state also shows (888) 290-1209","medicare","medicare-form","medicare_landing","medicare","medicare","Medicare-specific waiting list section; includes compliance disclaimer"
member,https://herself-health.com/member/,Member,"(888) 290-1209","(888) 290-1209",,"member","member-form","member_landing","Membership","member","Dedicated member experience; uses shared header default phone"
membership,https://herself-health.com/membership/,Membership,"(888) 290-1209","(888) 290-1209",,"membership","membership-form","membership_landing","Membership_long","membership","Long-form membership sales page"
midi,https://herself-health.com/midi/,Midi,"(877) 523-4554","(877) 523-4554",,"midi","midi-form","midi_landing","Midi_long","midi","Membership-like structure with MIDI-specific phone and form metadata"
